iter	Logloss
0	0.6809676108
1	0.6709783209
2	0.6626750122
3	0.6562459302
4	0.6499907523
5	0.644683666
6	0.6404618151
7	0.6366197305
8	0.6332145323
9	0.6300528656
10	0.6271198198
11	0.6245602405
12	0.622309431
13	0.6202143549
14	0.618281208
15	0.6165524402
16	0.6149766861
17	0.6135686844
18	0.6123251545
19	0.6112488494
20	0.6100160534
21	0.6090421427
22	0.6081702608
23	0.6072562641
24	0.6064229838
25	0.605624839
26	0.6050296566
27	0.6044501785
28	0.6038955264
29	0.6033213461
30	0.6027892866
31	0.6022395227
32	0.6017533835
33	0.6013179863
34	0.6008087903
35	0.6004162845
36	0.6000478161
37	0.5997533773
38	0.5994258077
39	0.5990596294
40	0.5987287884
41	0.5984366821
42	0.5981519515
43	0.5978962907
44	0.5976606818
45	0.5973998047
46	0.5971479279
47	0.5969413433
48	0.5967319443
49	0.5965009106
50	0.5962836467
51	0.59607262
52	0.5958763211
53	0.5957311679
54	0.5955627148
55	0.5954248899
56	0.5952644946
57	0.5951114624
58	0.5949881854
59	0.5948553265
60	0.5947287405
61	0.5945928039
62	0.5944582383
63	0.5943165972
64	0.5941960949
65	0.5940786429
66	0.5939767974
67	0.5938730333
68	0.5937886055
69	0.5936979751
70	0.5936213757
71	0.5935227269
72	0.5934332748
73	0.5933458476
74	0.593248125
75	0.5931498063
76	0.5930406554
77	0.5929623655
78	0.5928979863
79	0.5928281768
80	0.5927438571
81	0.5926695148
82	0.5926066848
83	0.5925378193
84	0.5924603688
85	0.5924118943
86	0.5923476923
87	0.592288017
88	0.5922353251
89	0.5921744628
90	0.5921177387
91	0.5920555996
92	0.5920019453
93	0.5919433171
94	0.5919089589
95	0.5918399695
96	0.5918016951
97	0.5917456068
98	0.5917068785
99	0.5916636592
100	0.5916155336
101	0.5915772739
102	0.5915227798
103	0.5914755766
104	0.5914336505
105	0.5913975596
106	0.5913646575
107	0.5913254907
108	0.5912791975
109	0.5912405602
110	0.5911998827
111	0.5911589515
112	0.5911083545
113	0.5910704011
114	0.5910239466
115	0.5909850145
116	0.5909474376
117	0.5909071071
118	0.5908681256
119	0.590841711
120	0.5908095281
121	0.5907806556
122	0.590744369
123	0.5906876191
124	0.5906492824
125	0.5906039814
126	0.5905666601
127	0.5905318683
128	0.590495384
129	0.5904555396
130	0.5904126029
131	0.5903750064
132	0.5903410125
133	0.5903025632
134	0.5902637584
135	0.5902239862
136	0.5901887436
137	0.5901544353
138	0.5901142747
139	0.5900808246
140	0.5900460925
141	0.5900016141
142	0.5899582793
143	0.5899142368
144	0.5898565896
145	0.589819211
146	0.5897860804
147	0.5897458653
148	0.5897017749
149	0.589658289
150	0.5896291646
151	0.5895727752
152	0.5895395482
153	0.589497004
154	0.58945961
155	0.5894224981
156	0.5893921017
157	0.5893530268
158	0.589306168
159	0.5892675797
160	0.5892399769
161	0.5892052531
162	0.5891631564
163	0.5891222482
164	0.5890849235
165	0.5890509538
166	0.5890119658
167	0.5889770238
168	0.5889405058
169	0.5889049021
170	0.5888760689
171	0.5888429669
172	0.5888025841
173	0.5887728314
174	0.5887426386
175	0.5887101825
176	0.5886716575
177	0.5886323404
178	0.5885984141
179	0.5885626927
180	0.5885253636
181	0.5885002659
182	0.5884654421
183	0.5884331311
184	0.5884015542
185	0.5883757097
186	0.5883479581
187	0.5883093188
188	0.5882776653
189	0.5882426393
190	0.5882157813
191	0.5881873167
192	0.5881577251
193	0.5881320268
194	0.5881022431
195	0.5880729615
196	0.5880442259
197	0.5880136269
198	0.5879860066
199	0.5879498989
