iter	Passed	Remaining
0	165	32944
1	178	17679
2	191	12589
3	203	9991
4	216	8443
5	228	7398
6	241	6667
7	254	6096
8	265	5636
9	277	5275
10	289	4975
11	303	4750
12	316	4550
13	329	4374
14	341	4214
15	354	4076
16	367	3957
17	380	3846
18	393	3745
19	404	3644
20	417	3556
21	428	3470
22	440	3393
23	453	3328
24	466	3266
25	479	3210
26	493	3163
27	508	3120
28	522	3080
29	536	3037
30	550	2998
31	563	2957
32	577	2924
33	589	2879
34	601	2836
35	614	2801
36	627	2762
37	640	2730
38	653	2698
39	665	2661
40	679	2636
41	692	2606
42	706	2579
43	720	2555
44	735	2532
45	749	2508
46	763	2486
47	778	2466
48	800	2465
49	814	2442
50	829	2423
51	844	2402
52	857	2378
53	869	2349
54	881	2323
55	894	2301
56	908	2279
57	922	2259
58	937	2241
59	952	2222
60	966	2202
61	980	2181
62	994	2162
63	1008	2142
64	1023	2126
65	1039	2109
66	1053	2090
67	1067	2072
68	1081	2053
69	1093	2031
70	1107	2012
71	1121	1994
72	1136	1977
73	1151	1960
74	1162	1937
75	1176	1918
76	1188	1897
77	1199	1875
78	1212	1857
79	1226	1840
80	1240	1823
81	1255	1806
82	1268	1788
83	1282	1771
84	1296	1753
85	1310	1736
86	1323	1719
87	1338	1703
88	1353	1687
89	1367	1670
90	1381	1654
91	1394	1637
92	1408	1620
93	1422	1604
94	1436	1587
95	1450	1571
96	1465	1556
97	1480	1540
98	1494	1524
99	1508	1508
100	1520	1490
101	1532	1472
102	1545	1455
103	1556	1436
104	1568	1418
105	1580	1401
106	1593	1384
107	1606	1368
108	1619	1352
109	1632	1335
110	1647	1320
111	1660	1304
112	1675	1289
113	1690	1275
114	1704	1259
115	1716	1243
116	1727	1225
117	1740	1209
118	1753	1193
119	1766	1177
120	1779	1162
121	1792	1145
122	1805	1130
123	1821	1116
124	1835	1101
125	1849	1086
126	1862	1070
127	1878	1056
128	1894	1042
129	1909	1027
130	1923	1013
131	1938	998
132	1955	985
133	1967	968
134	1980	953
135	1994	938
136	2008	923
137	2024	909
138	2037	894
139	2050	878
140	2063	863
141	2079	849
142	2092	834
143	2107	819
144	2122	805
145	2136	790
146	2150	775
147	2163	760
148	2177	745
149	2190	730
150	2204	715
151	2219	700
152	2231	685
153	2244	670
154	2257	655
155	2272	640
156	2285	625
157	2298	611
158	2310	595
159	2322	580
160	2333	565
161	2346	550
162	2357	535
163	2369	520
164	2382	505
165	2394	490
166	2406	475
167	2418	460
168	2431	445
169	2444	431
170	2456	416
171	2468	401
172	2481	387
173	2492	372
174	2504	357
175	2516	343
176	2529	328
177	2542	314
178	2554	299
179	2565	285
180	2576	270
181	2588	255
182	2599	241
183	2611	227
184	2623	212
185	2634	198
186	2646	183
187	2658	169
188	2670	155
189	2681	141
190	2693	126
191	2704	112
192	2716	98
193	2728	84
194	2741	70
195	2753	56
196	2766	42
197	2778	28
198	2790	14
199	2802	0
